from_url;from_domain;from_host;to_url;to_host;text;country;tld;visindex;visindex_country;follow
https://www.chemie.de/firmen/170/fryka-kaeltetechnik-gmbh.html;chemie.de;www.chemie.de;https://www.fryka.de/;www.fryka.de;fryka.de;de;de;35.4501;at;1
https://www.quimica.es/empresas/170/fryka-kaeltetechnik-gmbh.html;quimica.es;www.quimica.es;https://www.fryka.de/;www.fryka.de;;de;es;21.6937;mx;1
https://www.quimica.es/empresas/170/fryka-kaeltetechnik-gmbh.html;quimica.es;www.quimica.es;https://www.fryka.de/;www.fryka.de;fryka.de;de;es;21.6937;mx;1
https://www.bionity.com/de/firmen/7560/fryka-kaeltetechnik-gmbh.html;bionity.com;www.bionity.com;https://www.fryka.de/;www.fryka.de;;de;com;2.5971;ch;1
https://www.bionity.com/en/companies/7560/fryka-kaeltetechnik-gmbh.html;bionity.com;www.bionity.com;https://www.fryka.de/;www.fryka.de;fryka.de;de;com;2.5971;ch;1
https://www.chemeurope.com/fr/entreprises/170/fryka-kaeltetechnik-gmbh.html;chemeurope.com;www.chemeurope.com;https://www.fryka.de/;www.fryka.de;fryka.de;de;com;0.7644;uk;1
https://www.dgwz.de/category/themen/bau/kaelte-klima-lueftung;dgwz.de;www.dgwz.de;https://www.fryka.de/;www.fryka.de;"fryka-kaeltetechnik gmbh";de;de;0.4245;de;1
https://www.dgwz.de/tag/kaeltetechnik;dgwz.de;www.dgwz.de;https://www.fryka.de/;www.fryka.de;https://www.fryka.de;de;de;0.4245;de;1
https://analytik.news/firmen/2319.html;analytik.news;analytik.news;https://www.fryka.de/;www.fryka.de;www.fryka.de;de;news;0.3332;de;0
https://implisense.com/en/companies/fryka-kaeltetechnik-gmbh-esslingen-am-neckar-DEW4P344QJ03;implisense.com;implisense.com;https://www.fryka.de/;www.fryka.de;https://www.fryka.de/;de;com;0.2956;de;0
https://www.bioregio-stern.de/de/datenbank/unternehmen/fryka-kaeltetechnik-gmbh;bioregio-stern.de;www.bioregio-stern.de;https://www.fryka.de/;www.fryka.de;https://www.fryka.de/;us;de;0.1753;de;1
https://laboline.fi/tuotteet/kbt-sarja/;laboline.fi;laboline.fi;https://www.fryka.de/en/;www.fryka.de;;us;fi;0.163;fi;1
https://val.gr/antiprosopies/fryka/;val.gr;val.gr;https://www.fryka.de/;www.fryka.de;https://www.fryka.de/;us;gr;0.1488;gr;1
https://www.portalderwirtschaft.de/unternehmen/fryka-kaeltetechnik-gmbh;portalderwirtschaft.de;www.portalderwirtschaft.de;http://www.fryka.de/;www.fryka.de;https://www.fryka.de/;de;de;0.1247;at;0
https://www.meisterkuehler.de/mitglieder/grandma-death/forums/anworten/;meisterkuehler.de;www.meisterkuehler.de;http://www.fryka.de/de/durchlaufkuehler.html;www.fryka.de;durchlaufkuehler;de;de;0.1093;at;0
https://kuhner.com/de/labequip/produkte/Umlaufkuehler-ULK-2002.php;kuhner.com;kuhner.com;https://www.fryka.de/;www.fryka.de;www.fryka.de;ch;com;0.1091;ch;1
https://markt.technik-einkauf.de/anbieter-haendler-hersteller-lieferant/kaeltethermostate/;technik-einkauf.de;markt.technik-einkauf.de;http://www.fryka.de/;www.fryka.de;http://www.fryka.de;de;de;0.3462;de;0
https://markt.technik-einkauf.de/anbieter-haendler-hersteller-lieferant/kaeltethermostate/;technik-einkauf.de;markt.technik-einkauf.de;https://www.fryka.de/;www.fryka.de;"zur homepage";de;de;0.3462;de;0
https://exhibitors.analytica.de/ausstellerportal/2026/aussteller/ausstellerdetails/fryka-kaeltetechnik-gmbh/?elb=279.1100.1940.1.111&uls=2;analytica.de;analytica.de;http://www.fryka.de;www.fryka.de;www.fryka.de;us;de;0.0948;ch;1
https://www.handwerk-industrie.com/profildetails/FRYKA-Kaeltetechnik-GmbH-36;handwerk-industrie.com;www.handwerk-industrie.com;https://www.fryka.de/;www.fryka.de;"zur homepage von fryka-kaeltetechnik gmbh";de;com;0.0827;at;0
https://www.ninolab.se/om-ninolab/vara-leverantorer/;ninolab.se;www.ninolab.se;https://www.fryka.de/en;www.fryka.de;fryka_logo;se;se;0.0699;se;1
https://www.ninolab.se/om-ninolab/vara-leverantorer/;ninolab.se;www.ninolab.se;https://www.fryka.de/en/;www.fryka.de;fryka_logo;se;se;0.0699;se;1
https://ninolab.dk/virksomheden/leverandorer/;ninolab.dk;ninolab.dk;http://www.fryka.de/en/;www.fryka.de;"læs mere";de;dk;0.0556;dk;1
https://shop.exactalabcenter.it/info3276_lang_IT.htm?ofs=102;exactalabcenter.it;shop.exactalabcenter.it;http://www.fryka.de/;www.fryka.de;;de;it;0.0841;it;1
http://odp.org/World/Deutsch/Wissenschaft/Produkte_und_Dienstleistungen/Laborausr%C3%BCstung;odp.org;odp.org;http://www.fryka.de/;www.fryka.de;"fryka-kaeltetechnik gmbh";us;org;0.0946;mt;1
http://www.maneko.cz/firmy/;maneko.cz;www.maneko.cz;http://www.fryka.de/en;www.fryka.de;fryka;cz;cz;0.027;cz;1
http://www.maneko.cz/firmy/;maneko.cz;www.maneko.cz;http://www.fryka.de/en/;www.fryka.de;fryka;cz;cz;0.027;cz;1
http://www.maneko.cz/firmy/;maneko.cz;www.maneko.cz;http://www.fryka.de/en//;www.fryka.de;fryka;--;cz;0.027;cz;1
https://esslingen-am-neckar.stadtbranchenbuch.com/F/firmenverzeichnis_2.html;stadtbranchenbuch.com;esslingen-am-neckar.stadtbranchenbuch.com;https://www.fryka.de;www.fryka.de;homepage;us;com;8.4327;de;1
https://esslingen-am-neckar.stadtbranchenbuch.com/2576761.html;stadtbranchenbuch.com;esslingen-am-neckar.stadtbranchenbuch.com;https://www.fryka.de;www.fryka.de;www.fryka.de;us;com;8.4327;de;1
https://primelab.at/f;primelab.at;primelab.at;https://www.fryka.de/de;www.fryka.de;;ie;at;0.0116;at;1
https://primelab.at/f;primelab.at;primelab.at;https://www.fryka.de/de/;www.fryka.de;;ie;at;0.0116;at;1
https://exhibitors.analytica.de/exhibitor-portal/2026/list-of-exhibitors/exhibitordetails/fryka-kaeltetechnik-gmbh/?elb=279.1100.1940.1.111;analytica.de;exhibitors.analytica.de;http://www.fryka.de/;www.fryka.de;www.fryka.de;de;de;0.0948;ch;1
